Primer dado: 1, Segundo dado: 2, Resultado: Vulve a jugar
Primer dado: 1, Segundo dado: 2, Resultado: Vulve a jugar
Primer dado: 2, Segundo dado: 3, Resultado: Vulve a jugar
Primer dado: 7, Segundo dado: 1, Resultado: Gana
Primer dado: 1, Segundo dado: 7, Resultado: Gana
Primer dado: 7, Segundo dado: 1, Resultado: Gana
Primer dado: 1, Segundo dado: 1, Resultado: Vulve a jugar
Primer dado: 7, Segundo dado: 1, Resultado: Gana
Primer dado: 7, Segundo dado: 1, Resultado: Gana
Primer dado: 7, Segundo dado: 1, Resultado: Gana
Primer dado: 1, Segundo dado: 7, Resultado: Gana
Primer dado: 7, Segundo dado: 1, Resultado: Gana
Primer dado: 1, Segundo dado: 7, Resultado: Gana
Primer dado: 1, Segundo dado: 7, Resultado: Gana
Primer dado: 1, Segundo dado: 7, Resultado: Gana
